group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
rng128,,,,,1244100.0,ns,666747
rng128,,,,,2495800.0,ns,1333494
rng128,,,,,3660300.0,ns,2000241
rng128,,,,,4110300.0,ns,2666988
rng128,,,,,4728000.0,ns,3333735
rng128,,,,,6679700.0,ns,4000482
rng128,,,,,6651400.0,ns,4667229
rng128,,,,,8736400.0,ns,5333976
rng128,,,,,8513800.0,ns,6000723
rng128,,,,,8891900.0,ns,6667470
rng128,,,,,10244400.0,ns,7334217
rng128,,,,,12681800.0,ns,8000964
rng128,,,,,11793200.0,ns,8667711
rng128,,,,,13522300.0,ns,9334458
rng128,,,,,16868800.0,ns,10001205
rng128,,,,,15363100.0,ns,10667952
rng128,,,,,16014700.0,ns,11334699
rng128,,,,,16389200.0,ns,12001446
rng128,,,,,19903200.0,ns,12668193
rng128,,,,,22080800.0,ns,13334940
rng128,,,,,19906300.0,ns,14001687
rng128,,,,,20017200.0,ns,14668434
rng128,,,,,22300700.0,ns,15335181
rng128,,,,,22501200.0,ns,16001928
rng128,,,,,25730800.0,ns,16668675
rng128,,,,,23867100.0,ns,17335422
rng128,,,,,25124900.0,ns,18002169
rng128,,,,,26027500.0,ns,18668916
rng128,,,,,28890800.0,ns,19335663
rng128,,,,,27717500.0,ns,20002410
rng128,,,,,31692400.0,ns,20669157
rng128,,,,,33843300.0,ns,21335904
rng128,,,,,30223700.0,ns,22002651
rng128,,,,,32148800.0,ns,22669398
rng128,,,,,34355000.0,ns,23336145
rng128,,,,,32330600.0,ns,24002892
rng128,,,,,35326500.0,ns,24669639
rng128,,,,,36715200.0,ns,25336386
rng128,,,,,37048300.0,ns,26003133
rng128,,,,,38069400.0,ns,26669880
rng128,,,,,40114800.0,ns,27336627
rng128,,,,,39826900.0,ns,28003374
rng128,,,,,42984700.0,ns,28670121
rng128,,,,,41441000.0,ns,29336868
rng128,,,,,44083800.0,ns,30003615
rng128,,,,,43834300.0,ns,30670362
rng128,,,,,44862100.0,ns,31337109
rng128,,,,,46232300.0,ns,32003856
rng128,,,,,46088700.0,ns,32670603
rng128,,,,,49238700.0,ns,33337350
rng128,,,,,49871800.0,ns,34004097
rng128,,,,,51260500.0,ns,34670844
rng128,,,,,49175600.0,ns,35337591
rng128,,,,,54281200.0,ns,36004338
rng128,,,,,53735500.0,ns,36671085
rng128,,,,,54334400.0,ns,37337832
rng128,,,,,55652400.0,ns,38004579
rng128,,,,,55598700.0,ns,38671326
rng128,,,,,59896000.0,ns,39338073
rng128,,,,,57647000.0,ns,40004820
rng128,,,,,59651200.0,ns,40671567
rng128,,,,,59968900.0,ns,41338314
rng128,,,,,59203200.0,ns,42005061
rng128,,,,,63012400.0,ns,42671808
rng128,,,,,62268300.0,ns,43338555
rng128,,,,,63376600.0,ns,44005302
rng128,,,,,65009600.0,ns,44672049
rng128,,,,,62693300.0,ns,45338796
rng128,,,,,67189800.0,ns,46005543
rng128,,,,,67128100.0,ns,46672290
rng128,,,,,66768500.0,ns,47339037
rng128,,,,,69358500.0,ns,48005784
rng128,,,,,69072000.0,ns,48672531
rng128,,,,,69856000.0,ns,49339278
rng128,,,,,70992900.0,ns,50006025
rng128,,,,,73422100.0,ns,50672772
rng128,,,,,73411400.0,ns,51339519
rng128,,,,,78231100.0,ns,52006266
rng128,,,,,75695200.0,ns,52673013
rng128,,,,,76534500.0,ns,53339760
rng128,,,,,78910500.0,ns,54006507
rng128,,,,,77042800.0,ns,54673254
rng128,,,,,76876600.0,ns,55340001
rng128,,,,,79885600.0,ns,56006748
rng128,,,,,82066000.0,ns,56673495
rng128,,,,,81976100.0,ns,57340242
rng128,,,,,83105600.0,ns,58006989
rng128,,,,,82974800.0,ns,58673736
rng128,,,,,84730000.0,ns,59340483
rng128,,,,,86491100.0,ns,60007230
rng128,,,,,89764100.0,ns,60673977
rng128,,,,,98079200.0,ns,61340724
rng128,,,,,93228200.0,ns,62007471
rng128,,,,,104558500.0,ns,62674218
rng128,,,,,94842500.0,ns,63340965
rng128,,,,,101510400.0,ns,64007712
rng128,,,,,109525800.0,ns,64674459
rng128,,,,,112892800.0,ns,65341206
rng128,,,,,120309100.0,ns,66007953
rng128,,,,,124405800.0,ns,66674700
