group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
StdRng,,,,,1302000.0,ns,219070
StdRng,,,,,2366900.0,ns,438140
StdRng,,,,,3355700.0,ns,657210
StdRng,,,,,3610200.0,ns,876280
StdRng,,,,,5170000.0,ns,1095350
StdRng,,,,,4955300.0,ns,1314420
StdRng,,,,,6068800.0,ns,1533490
StdRng,,,,,8361200.0,ns,1752560
StdRng,,,,,8793300.0,ns,1971630
StdRng,,,,,8566700.0,ns,2190700
StdRng,,,,,9231600.0,ns,2409770
StdRng,,,,,10644100.0,ns,2628840
StdRng,,,,,10726100.0,ns,2847910
StdRng,,,,,11480600.0,ns,3066980
StdRng,,,,,13974700.0,ns,3286050
StdRng,,,,,14008700.0,ns,3505120
StdRng,,,,,16743200.0,ns,3724190
StdRng,,,,,15391100.0,ns,3943260
StdRng,,,,,16658800.0,ns,4162330
StdRng,,,,,16628000.0,ns,4381400
StdRng,,,,,20467600.0,ns,4600470
StdRng,,,,,18291300.0,ns,4819540
StdRng,,,,,20862300.0,ns,5038610
StdRng,,,,,21084000.0,ns,5257680
StdRng,,,,,21772800.0,ns,5476750
StdRng,,,,,23961300.0,ns,5695820
StdRng,,,,,25499100.0,ns,5914890
StdRng,,,,,25106000.0,ns,6133960
StdRng,,,,,24611100.0,ns,6353030
StdRng,,,,,28537700.0,ns,6572100
StdRng,,,,,30611100.0,ns,6791170
StdRng,,,,,28069400.0,ns,7010240
StdRng,,,,,29387700.0,ns,7229310
StdRng,,,,,30967900.0,ns,7448380
StdRng,,,,,30816800.0,ns,7667450
StdRng,,,,,30370300.0,ns,7886520
StdRng,,,,,33214900.0,ns,8105590
StdRng,,,,,35190900.0,ns,8324660
StdRng,,,,,33409700.0,ns,8543730
StdRng,,,,,36088700.0,ns,8762800
StdRng,,,,,36232300.0,ns,8981870
StdRng,,,,,36974600.0,ns,9200940
StdRng,,,,,44545100.0,ns,9420010
StdRng,,,,,41110900.0,ns,9639080
StdRng,,,,,43472400.0,ns,9858150
StdRng,,,,,42457300.0,ns,10077220
StdRng,,,,,43514400.0,ns,10296290
StdRng,,,,,44695200.0,ns,10515360
StdRng,,,,,44336100.0,ns,10734430
StdRng,,,,,44624500.0,ns,10953500
StdRng,,,,,44724600.0,ns,11172570
StdRng,,,,,54709900.0,ns,11391640
StdRng,,,,,56510500.0,ns,11610710
StdRng,,,,,57115200.0,ns,11829780
StdRng,,,,,52996400.0,ns,12048850
StdRng,,,,,57939200.0,ns,12267920
StdRng,,,,,58313200.0,ns,12486990
StdRng,,,,,56883800.0,ns,12706060
StdRng,,,,,66134000.0,ns,12925130
StdRng,,,,,60137000.0,ns,13144200
StdRng,,,,,55039100.0,ns,13363270
StdRng,,,,,57450900.0,ns,13582340
StdRng,,,,,55237200.0,ns,13801410
StdRng,,,,,59665800.0,ns,14020480
StdRng,,,,,58993700.0,ns,14239550
StdRng,,,,,63283200.0,ns,14458620
StdRng,,,,,60399900.0,ns,14677690
StdRng,,,,,59543600.0,ns,14896760
StdRng,,,,,61789000.0,ns,15115830
StdRng,,,,,61258900.0,ns,15334900
StdRng,,,,,63487100.0,ns,15553970
StdRng,,,,,65192400.0,ns,15773040
StdRng,,,,,64329300.0,ns,15992110
StdRng,,,,,65129100.0,ns,16211180
StdRng,,,,,69649800.0,ns,16430250
StdRng,,,,,67925300.0,ns,16649320
StdRng,,,,,69390600.0,ns,16868390
StdRng,,,,,70062700.0,ns,17087460
StdRng,,,,,68085000.0,ns,17306530
StdRng,,,,,69872700.0,ns,17525600
StdRng,,,,,71284400.0,ns,17744670
StdRng,,,,,70751800.0,ns,17963740
StdRng,,,,,74298600.0,ns,18182810
StdRng,,,,,73153000.0,ns,18401880
StdRng,,,,,76176800.0,ns,18620950
StdRng,,,,,75850700.0,ns,18840020
StdRng,,,,,78091400.0,ns,19059090
StdRng,,,,,75608800.0,ns,19278160
StdRng,,,,,81804900.0,ns,19497230
StdRng,,,,,83811900.0,ns,19716300
StdRng,,,,,81891900.0,ns,19935370
StdRng,,,,,83383200.0,ns,20154440
StdRng,,,,,81761800.0,ns,20373510
StdRng,,,,,82866300.0,ns,20592580
StdRng,,,,,84286600.0,ns,20811650
StdRng,,,,,84640500.0,ns,21030720
StdRng,,,,,87197300.0,ns,21249790
StdRng,,,,,85851800.0,ns,21468860
StdRng,,,,,90422700.0,ns,21687930
StdRng,,,,,91476100.0,ns,21907000
