engine,algo,tier,mode,metric,count,ms,rate_per_s,checksum
UA,xoshiro256**,Scalar,batch,u64,2000000,4.9809,4.01534e+08,d81809347700d74d
UA,xoshiro256**,Scalar,single,u64,2000000,15.6618,1.27699e+08,2e38d5dcee3a408a
UA,xoshiro256**,Scalar,batch,double,2000000,5.433,3.68121e+08,6b5983dcb9e0ff97
UA,xoshiro256**,Scalar,single,double,2000000,25.7,7.7821e+07,5c647eda528fc691
UA,xoshiro256**,Scalar,batch,normal,2000000,42.6632,4.68788e+07,82fda28bd141d10b
UA,xoshiro256**,Scalar,single,normal,2000000,52.4709,3.81164e+07,561adf64ad97a4a2
UA,philox4x32-10,Scalar,batch,u64,2000000,13.6299,1.46736e+08,7d99c5e6907547a1
UA,philox4x32-10,Scalar,single,u64,2000000,24.756,8.07885e+07,19b70c5e2d8e4676
UA,philox4x32-10,Scalar,batch,double,2000000,14.1974,1.40871e+08,36c4e0d6b6f78722
UA,philox4x32-10,Scalar,single,double,2000000,34.0882,5.86713e+07,764e38260634a6d5
UA,philox4x32-10,Scalar,batch,normal,2000000,59.2437,3.37589e+07,c9b61ff92fd72f61
UA,philox4x32-10,Scalar,single,normal,2000000,67.1429,2.97872e+07,62fb779caa439116
UA,xoshiro256**,AVX2,batch,u64,2000000,2.4278,8.23791e+08,83f9135745cd554
UA,xoshiro256**,AVX2,single,u64,2000000,13.5287,1.47834e+08,5526037dcecbfce1
UA,xoshiro256**,AVX2,batch,double,2000000,3.1468,6.35566e+08,740abbdd9f47d325
UA,xoshiro256**,AVX2,single,double,2000000,23.0466,8.67807e+07,e67129414da807d9
UA,xoshiro256**,AVX2,batch,normal,2000000,55.2266,3.62144e+07,b6e71da0f9b38302
UA,xoshiro256**,AVX2,single,normal,2000000,51.1478,3.91024e+07,c3065e4c5747fc51
UA,philox4x32-10,AVX2,batch,u64,2000000,9.3982,2.12807e+08,7d99c5e6907547a1
UA,philox4x32-10,AVX2,single,u64,2000000,20.5063,9.7531e+07,19b70c5e2d8e4676
UA,philox4x32-10,AVX2,batch,double,2000000,10.239,1.95332e+08,36c4e0d6b6f78722
UA,philox4x32-10,AVX2,single,double,2000000,30.6183,6.53204e+07,764e38260634a6d5
UA,philox4x32-10,AVX2,batch,normal,2000000,69.7725,2.86646e+07,ef3b3e928a36a66e
UA,philox4x32-10,AVX2,single,normal,2000000,65.434,3.05651e+07,62fb779caa439116
STD,mt19937_64,-,batch,u64,2000000,7.7043,2.59595e+08,ea4d133674669cf8
STD,mt19937_64,-,single,u64,2000000,7.7886,2.56786e+08,ea4d133674669cf8
STD,mt19937_64,-,batch,double,2000000,9.0228,2.21661e+08,345195a6348071c1
STD,mt19937_64,-,single,double,2000000,8.8116,2.26974e+08,345195a6348071c1
STD,mt19937_64,-,batch,normal,2000000,30.5885,6.5384e+07,d37f9cc08fb4862
STD,mt19937_64,-,single,normal,2000000,30.6784,6.51924e+07,d37f9cc08fb4862
STD,mt19937,-,batch,u64,2000000,6.5662,3.0459e+08,983ecda8ebcf62da
STD,mt19937,-,single,u64,2000000,6.7456,2.9649e+08,983ecda8ebcf62da
STD,mt19937,-,batch,double,2000000,15.2583,1.31076e+08,3437dc297df1565a
STD,mt19937,-,single,double,2000000,15.5444,1.28664e+08,3437dc297df1565a
STD,mt19937,-,batch,normal,2000000,39.2882,5.09059e+07,955ff37caa914a47
STD,mt19937,-,single,normal,2000000,38.3118,5.22032e+07,955ff37caa914a47
STD,ranlux48,-,batch,u64,2000000,185.826,1.07628e+07,26aceb848bea68c8
STD,ranlux48,-,single,u64,2000000,180.919,1.10547e+07,26aceb848bea68c8
STD,ranlux48,-,batch,double,2000000,363.707,5.49894e+06,e6ab51479455217d
STD,ranlux48,-,single,double,2000000,371.191,5.38807e+06,e6ab51479455217d
STD,ranlux48,-,batch,normal,2000000,495.481,4.03648e+06,f5d69807b0126b98
STD,ranlux48,-,single,normal,2000000,502.823,3.97754e+06,f5d69807b0126b98
STD,minstd_rand,-,batch,u64,2000000,3.7221,5.37331e+08,e8dc1b624a0728a5
STD,minstd_rand,-,single,u64,2000000,3.6972,5.4095e+08,e8dc1b624a0728a5
STD,minstd_rand,-,batch,double,2000000,10.3752,1.92767e+08,c9027b1c1b867d7f
STD,minstd_rand,-,single,double,2000000,10.2013,1.96053e+08,c9027b1c1b867d7f
STD,minstd_rand,-,batch,normal,2000000,32.6684,6.12212e+07,c4f0563973662ddd
STD,minstd_rand,-,single,normal,2000000,33.8235,5.91305e+07,c4f0563973662ddd
