engine,algo,tier,mode,metric,threads,batch,count,ms,rate_per_s
UA,xoshiro256**,scalar,batch,u64,1,256,4000000,10.175200,393112664.347351
UA,xoshiro256**,scalar,batch,double,1,256,4000000,15.646600,255646594.017362
UA,xoshiro256**,scalar,batch,normal,1,256,4000000,94.226300,42450992.981274
UA,xoshiro256**,scalar,batch,u64,1,1024,4000000,8.935600,447647609.678723
UA,xoshiro256**,scalar,batch,double,1,1024,4000000,14.523600,275413809.584771
UA,xoshiro256**,scalar,batch,normal,1,1024,4000000,97.553800,41003015.777342
UA,xoshiro256**,scalar,batch,u64,1,4096,4000000,9.336300,428435246.658835
UA,xoshiro256**,scalar,batch,double,1,4096,4000000,15.590000,256574726.840019
UA,xoshiro256**,scalar,batch,normal,1,4096,4000000,99.663300,40135134.984489
UA,xoshiro256**,scalar,batch,u64,1,16384,4000000,10.189600,392557115.116957
UA,xoshiro256**,scalar,batch,double,1,16384,4000000,15.407000,259622249.538406
UA,xoshiro256**,scalar,batch,normal,1,16384,4000000,99.766400,40093658.771174
UA,xoshiro256**,scalar,batch,u64,1,65536,4000000,11.209200,356849729.795149
UA,xoshiro256**,scalar,batch,double,1,65536,4000000,15.405600,259645843.883357
UA,xoshiro256**,scalar,batch,normal,1,65536,4000000,100.222200,39911317.062888
UA,xoshiro256**,scalar,batch,u64,2,256,8000000,15.435300,518292485.656605
UA,xoshiro256**,scalar,batch,double,2,256,8000000,22.987100,348021281.423396
UA,xoshiro256**,scalar,batch,normal,2,256,8000000,184.476500,43365957.187479
UA,xoshiro256**,scalar,batch,u64,2,1024,8000000,15.583500,513363492.527490
UA,xoshiro256**,scalar,batch,double,2,1024,8000000,22.825200,350489809.182226
UA,xoshiro256**,scalar,batch,normal,2,1024,8000000,188.191500,42509890.189809
UA,xoshiro256**,scalar,batch,u64,2,4096,8000000,16.007300,499771980.294054
UA,xoshiro256**,scalar,batch,double,2,4096,8000000,23.419700,341592761.262682
UA,xoshiro256**,scalar,batch,normal,2,4096,8000000,185.450500,43138195.904062
UA,xoshiro256**,scalar,batch,u64,2,16384,8000000,16.891200,473619399.282137
UA,xoshiro256**,scalar,batch,double,2,16384,8000000,23.736900,337028002.365986
UA,xoshiro256**,scalar,batch,normal,2,16384,8000000,184.308800,43405415.249793
UA,xoshiro256**,scalar,batch,u64,2,65536,8000000,17.302100,462371619.556079
UA,xoshiro256**,scalar,batch,double,2,65536,8000000,24.175500,330913528.491547
UA,xoshiro256**,scalar,batch,normal,2,65536,8000000,185.756400,43067156.759612
UA,xoshiro256**,scalar,batch,u64,4,256,16000000,15.675400,1020707604.330411
UA,xoshiro256**,scalar,batch,double,4,256,16000000,23.466600,681820118.782218
UA,xoshiro256**,scalar,batch,normal,4,256,16000000,188.227300,85003610.002359
UA,xoshiro256**,scalar,batch,u64,4,1024,16000000,16.028700,998209462.146162
UA,xoshiro256**,scalar,batch,double,4,1024,16000000,23.654200,676412646.739793
UA,xoshiro256**,scalar,batch,normal,4,1024,16000000,191.257000,83657068.774231
UA,xoshiro256**,scalar,batch,u64,4,4096,16000000,16.641500,961451792.426623
UA,xoshiro256**,scalar,batch,double,4,4096,16000000,23.711000,674792291.475145
UA,xoshiro256**,scalar,batch,normal,4,4096,16000000,190.096100,84167955.035789
UA,xoshiro256**,scalar,batch,u64,4,16384,16000000,17.381300,920529532.912686
UA,xoshiro256**,scalar,batch,double,4,16384,16000000,24.349400,657100380.731786
UA,xoshiro256**,scalar,batch,normal,4,16384,16000000,193.006500,82898762.474454
UA,xoshiro256**,scalar,batch,u64,4,65536,16000000,18.369500,871009010.381222
UA,xoshiro256**,scalar,batch,double,4,65536,16000000,25.056700,638551764.821486
UA,xoshiro256**,scalar,batch,normal,4,65536,16000000,190.399500,84033834.143299
UA,xoshiro256**,scalar,batch,u64,8,256,32000000,16.819600,1902542266.943920
UA,xoshiro256**,scalar,batch,double,8,256,32000000,24.909400,1284655592.573168
UA,xoshiro256**,scalar,batch,normal,8,256,32000000,205.160200,155975671.694752
UA,xoshiro256**,scalar,batch,u64,8,1024,32000000,17.266700,1853278272.371869
UA,xoshiro256**,scalar,batch,double,8,1024,32000000,28.560900,1120412873.205874
UA,xoshiro256**,scalar,batch,normal,8,1024,32000000,209.288900,152898696.521418
UA,xoshiro256**,scalar,batch,u64,8,4096,32000000,18.395800,1739527501.365631
UA,xoshiro256**,scalar,batch,double,8,4096,32000000,26.395900,1212309486.950196
UA,xoshiro256**,scalar,batch,normal,8,4096,32000000,205.193000,155950739.046166
UA,xoshiro256**,scalar,batch,u64,8,16384,32000000,19.295300,1658434955.072605
UA,xoshiro256**,scalar,batch,double,8,16384,32000000,27.687900,1155739510.478382
UA,xoshiro256**,scalar,batch,normal,8,16384,32000000,206.880000,154679040.948946
UA,xoshiro256**,scalar,batch,u64,8,65536,32000000,22.617600,1414827389.572847
UA,xoshiro256**,scalar,batch,double,8,65536,32000000,29.103100,1099539224.275340
UA,xoshiro256**,scalar,batch,normal,8,65536,32000000,211.079600,151601575.872422
UA,philox4x32-10,scalar,batch,u64,1,256,4000000,34.245900,116802303.425667
UA,philox4x32-10,scalar,batch,double,1,256,4000000,38.008800,105238786.724881
UA,philox4x32-10,scalar,batch,normal,1,256,4000000,164.331800,24340997.910264
UA,philox4x32-10,scalar,batch,u64,1,1024,4000000,27.410400,145930012.107917
UA,philox4x32-10,scalar,batch,double,1,1024,4000000,33.273600,120215426.107557
UA,philox4x32-10,scalar,batch,normal,1,1024,4000000,160.735300,24885634.953171
UA,philox4x32-10,scalar,batch,u64,1,4096,4000000,29.702500,134668798.987508
UA,philox4x32-10,scalar,batch,double,1,4096,4000000,36.961900,108219545.003209
UA,philox4x32-10,scalar,batch,normal,1,4096,4000000,151.803300,26349888.315751
UA,philox4x32-10,scalar,batch,u64,1,16384,4000000,29.729100,134548304.573245
UA,philox4x32-10,scalar,batch,double,1,16384,4000000,33.537200,119270541.461239
UA,philox4x32-10,scalar,batch,normal,1,16384,4000000,157.515100,25394390.759628
UA,philox4x32-10,scalar,batch,u64,1,65536,4000000,29.767300,134375640.339999
UA,philox4x32-10,scalar,batch,double,1,65536,4000000,34.110500,117265944.579299
UA,philox4x32-10,scalar,batch,normal,1,65536,4000000,146.137900,27371407.418205
UA,philox4x32-10,scalar,batch,u64,2,256,8000000,44.519400,179696941.106510
UA,philox4x32-10,scalar,batch,double,2,256,8000000,51.636600,154928868.230700
UA,philox4x32-10,scalar,batch,normal,2,256,8000000,244.352600,32739573.872978
UA,philox4x32-10,scalar,batch,u64,2,1024,8000000,44.094600,181428111.534104
UA,philox4x32-10,scalar,batch,double,2,1024,8000000,51.199000,156253051.814508
UA,philox4x32-10,scalar,batch,normal,2,1024,8000000,242.824400,32945618.314080
UA,philox4x32-10,scalar,batch,u64,2,4096,8000000,44.657200,179142444.961059
